Position,Players,Highest Score,Balls Faced,Versus,Strike Rate
1,Harmanpreet Kaur,95,48,Gujarat Giants,197.91
2,Deepti Sharma,88,60,Gujarat Giants,146.66
3,Beth Mooney,85,51,Royal Challengers Bangalore,166.66
4,Smriti Mandhana,80,50,UP Warriorz,160.00
5,Laura Wolvaardt,76,45,Royal Challengers Bangalore,168.88
6,Alice Capsey,75,53,Mumbai Indians,141.50
7,Dayalan Hemalatha,74,40,Mumbai Indians,185.00
8,Smriti Mandhana,74,43,Delhi Capitals,172.09
9,Beth Mooney,74,52,UP Warriorz,142.30
10,Shafali Verma,71,37,Gujarat Giants,191.89
