Position,Players,Overs,Runs,Wickets,Dots,Economy,Strike Rate,Against
1,Marizanne Kapp,4,5,3,19,1.25,8.00,UP Warriorz
2,Shabnim Ismail,4,6,1,19,1.50,24.00,UP Warriorz
3,Shabnam Shakil,4,11,3,19,2.75,8.00,UP Warriorz
4,Shikha Pandey,4,11,1,13,2.75,24.00,Royal Challengers Bangalore
5,Sophie Devine,4,12,0,16,3.00,-,Gujarat Giants
6,Renuka Singh,4,14,2,18,3.50,12.00,Gujarat Giants
7,Ellyse Perry,4,15,6,18,3.75,4.00,Mumbai Indians
8,Sophie Ecclestone,4,15,1,17,3.75,24.00,Delhi Capitals
9,Shreyanka Patil,4,16,2,11,4.00,12.00,Mumbai Indians
10,Sophie Molineux,4,16,1,11,4.00,24.00,Mumbai Indians
