Position,Players,Matches Played,Overs Bowled,Maidens Bowled,Runs Conceded,Wickets Taken,Best Bowling Innings,Average,Economy Rate,Strike Rate,3 Wickets Haul,5 Wickets Haul
1,Alice Capsey,9,8,0,49,4,2/23,12.25,6.12,12.00,0,0
2,Shabnim Ismail,7,28,1,173,8,3/18,21.62,6.17,21.00,1,0
3,Marizanne Kapp,7,28,2,176,11,3/5,16.00,6.28,15.27,1,0
4,Sophie Ecclestone,8,31.3,0,207,11,3/20,18.81,6.57,17.18,2,0
5,Ellyse Perry,9,16,0,109,7,6/15,15.57,6.81,13.71,0,1
6,Chamari Athapaththu,4,15,0,103,3,2/27,34.33,6.86,30.00,0,0
7,Grace Harris,8,17.5,0,123,4,2/8,30.75,6.89,26.75,0,0
8,Poonam Khemnar,8,1,0,7,0,0/7,-,7.00,-,0,0
9,Shabnam Shakil,4,12,0,84,4,3/11,21.00,7.00,18.00,1,0
10,Asha Shobana,10,26,0,185,12,5/22,15.41,7.11,13.00,0,1
