Position,Players,Matches Played,Innings,Overs,Runs,Wickets,Dots,Average,Economy,Strike Rate,4 Wickets Haul,5 Wickets Haul
1,Shabnim Ismail,7,7,28,173,8,97,21.62,6.17,21.00,0,0
2,Sophie Molineux,10,10,38,278,12,92,23.16,7.31,19.00,0,0
3,Sophie Ecclestone,8,8,31.3,207,11,88,18.81,6.57,17.18,0,0
4,Shikha Pandey,9,9,34,244,9,88,27.11,7.17,22.66,0,0
5,Marizanne Kapp,7,7,28,176,11,85,16.00,6.28,15.27,0,0
6,Renuka Singh,10,10,28,226,2,83,113.00,8.07,84.00,0,0
7,Natalie Sciver-Brunt,9,9,27,215,10,75,21.50,7.96,16.20,0,0
8,Tanuja Kanwer,8,8,29,207,10,73,20.70,7.13,17.40,0,0
9,Ashleigh Gardner,8,8,26.5,208,7,68,29.71,7.75,23.00,0,0
10,Sophie Devine,10,9,22,174,6,67,29.00,7.90,22.00,0,0
