Position,Players,Overs,Runs,Wickets,Strike Rate,Against
1,Sneh Rana,4,48,0,-,Mumbai Indians
2,Shabnim Ismail,4,46,1,24.00,Delhi Capitals
3,Pooja Vastrakar,4,45,1,24.00,Gujarat Giants
4,Sophie Molineux,4,45,0,-,Delhi Capitals
5,Amelia Kerr,4,43,2,12.00,Delhi Capitals
6,Tanuja Kanwer,4,43,1,24.00,Royal Challengers Bangalore
7,Rajeshwari Gayakwad,3,43,0,-,Royal Challengers Bangalore
8,Meghna Singh,4,42,0,-,Royal Challengers Bangalore
9,Anjali Sarvani,3,41,1,18.00,Royal Challengers Bangalore
10,Deepti Sharma,4,40,1,24.00,Mumbai Indians
