Position,Players,Matches Played,Overs,Maidens,Runs,Wickets,Best Bowling Inning,Average,Economy,Strike Rate,3 Wickets Haul,5 Wickets Haul
1,Shreyanka Patil,8,21.3,0,157,13,4/12,12.07,7.30,9.92,2,0
2,Asha Shobana,10,26,0,185,12,5/22,15.41,7.11,13.00,0,1
3,Sophie Molineux,10,38,0,278,12,3/20,23.16,7.31,19.00,2,0
4,Marizanne Kapp,7,28,2,176,11,3/5,16.00,6.28,15.27,1,0
5,Sophie Ecclestone,8,31.3,0,207,11,3/20,18.81,6.57,17.18,2,0
6,Jess Jonassen,7,25,0,181,11,3/21,16.45,7.24,13.63,3,0
7,Tanuja Kanwer,8,29,1,207,10,2/20,20.70,7.13,17.40,0,0
8,Deepti Sharma,8,30,0,217,10,4/19,21.70,7.23,18.00,1,0
9,Radha Yadav,9,25,0,187,10,4/20,18.70,7.48,15.00,2,0
10,Natalie Sciver-Brunt,9,27,0,215,10,2/14,21.50,7.96,16.20,0,0
